Title,Abstract,PMID,PMCID,DOI,Cited Number,journal_title,Journal_id,impact_factor,relevance_score,cited_Normalized,impact_Normalized,final_score
Multi-Omics Data Analysis Identifies Prognostic Biomarkers across Cancers,"Combining omics data from different layers using integrative methods provides a better understanding of the biology of a complex disease such as cancer. The discovery of biomarkers related to cancer development or prognosis helps to find more effective treatment options. This study integrates multi-omics data of different cancer types with a network-based approach to explore common gene modules among different tumors by running community detection methods on the integrated network. The common modules were evaluated by several biological metrics adapted to cancer. Then, a new prognostic scoring method was developed by weighting mRNA expression, methylation, and mutation status of genes. The survival analysis pointed out statistically significant results forGNG11,CBX2,CDKN3,ARHGEF10,CLN8,SEC61GandPTDSS1genes. The literature search reveals that the identified biomarkers are associated with the same or different types of cancers. Our method does not only identify known cancer-specific biomarker genes, but also proposes new potential biomarkers. Thus, this study provides a rationale for identifying new gene targets and expanding treatment options across cancer types.",37489460,PMC10366886,10.3390/medsci11030044,3,"Medical sciences (Basel, Switzerland)",101629322,0.0,0.9447912573814392,0.38127090301003347,0.0,0.6431289350308702
Integrative Analysis of Incongruous Cancer Genomics and Proteomics Datasets,"Cancer is a complex disease characterized by molecular heterogeneity and the involvement of several cellular mechanisms throughout its evolution and pathogenesis. Despite the great efforts made to untangle these mechanisms, cancer pathophysiology remains far from clear. So far, panels of biomarkers have been reported from high-throughput data generated through different platforms. These biomarkers are primarily focused on one type of coding molecules such as transcripts or proteins, mainly due to the apparent heterogeneity of output data resulting from the use of various techniques specific to the molecular type. Hence, there is a major need to understand how these molecules interact and complement each other to be able to explain the deregulated processes involved. The breadth of large-scale data availability as well as the lack of in-depth analysis of publicly available data has raised concerns and enabled opportunities for new strategies to analyze ""Big data"" more comprehensively. Here, a new protocol to perform integrative analysis based on a systems biology approach is described. The foundation of the approach relies on groups of datasets from published studies compared within the original described groups and organized in a designated format to allow the integration and cross-comparison among different studies and different platforms. This approach follows an unbiased hypothesis-free methodology that will facilitate the identification of commonalities among different data-set sources, and ultimately map and characterize specific molecular pathways using significantly deregulated molecules. This in turn will generate novel insights about the mechanisms deregulated in complex diseases such as cancer.",34236668,,10.1007/978-1-0716-1641-3_17,1,"Methods in molecular biology (Clifton, N.J.)",9214969,0.0,0.8613050580024719,0.1939799331103679,0.0033444816053511705,0.556247917744627
Integrative Analysis of Multi-omics Data for Discovery and Functional Studies of Complex Human Diseases,"Complex and dynamic networks of molecules are involved in human diseases. High-throughput technologies enable omics studies interrogating thousands to millions of makers with similar biochemical properties (eg, transcriptomics for RNA transcripts). However, a single layer of ""omics"" can only provide limited insights into the biological mechanisms of a disease. In the case of genome-wide association studies, although thousands of single nucleotide polymorphisms have been identified for complex diseases and traits, the functional implications and mechanisms of the associated loci are largely unknown. Additionally, the genomic variants alone are not able to explain the changing disease risk across the life span. DNA, RNA, protein, and metabolite often have complementary roles to jointly perform a certain biological function. Such complementary effects and synergistic interactions between omic layers in the life course can only be captured by integrative study of multiple molecular layers. Building upon the success in single-omics discovery research, population studies started adopting the multi-omics approach to better understanding the molecular function and disease etiology. Multi-omics approaches integrate data obtained from different omic levels to understand their interrelation and combined influence on the disease processes. Here, we summarize major omics approaches available in population research, and review integrative approaches and methodologies interrogating multiple omic layers, which enhance the gene discovery and functional analysis of human diseases. We seek to provide analytical recommendations for different types of multi-omics data and study designs to guide the emerging multi-omic research, and to suggest improvement of the existing analytical methods.",26915271,PMC5742494,10.1016/bs.adgen.2015.11.004,161,Advances in genetics,370421,3.88,0.822474479675293,0.9933110367892977,0.22073578595317725,0.7362940523536707
"Integrative, multi-omics, analysis of blood samples improves model predictions: applications to cancer","Background:Cancer genomic studies often include data collected from several omics platforms. Each omics data source contributes to the understanding of the underlying biological process via source specific (""individual"") patterns of variability. At the same time, statistical associations and potential interactions among the different data sources can reveal signals from common biological processes that might not be identified by single source analyses. These common patterns of variability are referred to as ""shared"" or ""joint"". In this work, we show how the use of joint and individual components can lead to better predictive models, and to a deeper understanding of the biological process at hand. We identify joint and individual contributions of DNA methylation, miRNA and mRNA expression collected from blood samples in a lung cancer case-control study nested within the Norwegian Women and Cancer (NOWAC) cohort study, and we use such components to build prediction models for case-control and metastatic status. To assess the quality of predictions, we compare models based on simultaneous, integrative analysis of multi-source omics data to a standard non-integrative analysis of each single omics dataset, and to penalized regression models. Additionally, we apply the proposed approach to a breast cancer dataset from The Cancer Genome Atlas.Results:Our results show how an integrative analysis that preserves both components of variation is more appropriate than standard multi-omics analyses that are not based on such a distinction. Both joint and individual components are shown to contribute to a better quality of model predictions, and facilitate the interpretation of the underlying biological processes in lung cancer development.Conclusions:In the presence of multiple omics data sources, we recommend the use of data integration techniques that preserve the joint and individual components across the omics sources. We show how the inclusion of such components increases the quality of model predictions of clinical outcomes.",34353282,PMC8340537,10.1186/s12859-021-04296-0,7,BMC bioinformatics,100965194,3.307,0.7828285694122314,0.6187290969899666,0.12374581939799331,0.6181921249249308
Integrated analysis of multi-omics data for the discovery of biomarkers and therapeutic targets for colorectal cancer,"The considerable burden of colorectal cancer and the rising trend in young adults emphasize the necessity of understanding its underlying mechanisms, providing new diagnostic and prognostic markers, and improving therapeutic approaches. Precision medicine is a new trend all over the world and identification of novel biomarkers and therapeutic targets is a step forward towards this trend. In this context, multi-omics data and integrated analysis are being investigated to develop personalized medicine in the management of colorectal cancer. Given the large amount of data from multi-omics approach, data integration and analysis is a great challenge. In this Review, we summarize how statistical and machine learning techniques are applied to analyze multi-omics data and how it contributes to the discovery of useful diagnostic and prognostic biomarkers and therapeutic targets. Moreover, we discuss the importance of these biomarkers and therapeutic targets in the clinical management of colorectal cancer in the future. Taken together, integrated analysis of multi-omics data has great potential for finding novel diagnostic and prognostic biomarkers and therapeutic targets, however, there are still challenges to overcome in future studies.",36805214,,10.1016/j.compbiomed.2023.106639,6,Computers in biology and medicine,1250250,6.698,0.7652426362037659,0.6053511705685619,0.5618729096989966,0.6925903977757712
DIABLO: an integrative approach for identifying key molecular drivers from multi-omics assays,"Motivation:In the continuously expanding omics era, novel computational and statistical strategies are needed for data integration and identification of biomarkers and molecular signatures. We present Data Integration Analysis for Biomarker discovery using Latent cOmponents (DIABLO), a multi-omics integrative method that seeks for common information across different data types through the selection of a subset of molecular features, while discriminating between multiple phenotypic groups.Results:Using simulations and benchmark multi-omics studies, we show that DIABLO identifies features with superior biological relevance compared with existing unsupervised integrative methods, while achieving predictive performance comparable to state-of-the-art supervised approaches. DIABLO is versatile, allowing for modular-based analyses and cross-over study designs. In two case studies, DIABLO identified both known and novel multi-omics biomarkers consisting of mRNAs, miRNAs, CpGs, proteins and metabolites.Availability and implementation:DIABLO is implemented in the mixOmics R Bioconductor package with functions for parameters' choice and visualization to assist in the interpretation of the integrative analyses, along with tutorials on http://mixomics.org and in our Bioconductor vignette.Supplementary information:Supplementary data are available at Bioinformatics online.",30657866,PMC6735831,10.1093/bioinformatics/bty1054,284,"Bioinformatics (Oxford, England)",9808944,6.931,0.7492707371711731,0.9966555183946488,0.5919732441471572,0.767288194811065
A semi-supervised approach for the integration of multi-omics data based on transformer multi-head self-attention mechanism and graph convolutional networks,"Background and objectives:Comprehensive analysis of multi-omics data is crucial for accurately formulating effective treatment plans for complex diseases. Supervised ensemble methods have gained popularity in recent years for multi-omics data analysis. However, existing research based on supervised learning algorithms often fails to fully harness the information from unlabeled nodes and overlooks the latent features within and among different omics, as well as the various associations among features. Here, we present a novel multi-omics integrative method MOSEGCN, based on the Transformer multi-head self-attention mechanism and Graph Convolutional Networks(GCN), with the aim of enhancing the accuracy of complex disease classification. MOSEGCN first employs the Transformer multi-head self-attention mechanism and Similarity Network Fusion (SNF) to separately learn the inherent correlations of latent features within and among different omics, constructing a comprehensive view of diseases. Subsequently, it feeds the learned crucial information into a self-ensembling Graph Convolutional Network (SEGCN) built upon semi-supervised learning methods for training and testing, facilitating a better analysis and utilization of information from multi-omics data to achieve precise classification of disease subtypes.Results:The experimental results show that MOSEGCN outperforms several state-of-the-art multi-omics integrative analysis approaches on three types of omics data: mRNA expression data, microRNA expression data, and DNA methylation data, with accuracy rates of 83.0% for Alzheimer's disease and 86.7% for breast cancer subtyping. Furthermore, MOSEGCN exhibits strong generalizability on the GBM dataset, enabling the identification of important biomarkers for related diseases.Conclusion:MOSEGCN explores the significant relationship information among different omics and within each omics' latent features, effectively leveraging labeled and unlabeled information to further enhance the accuracy of complex disease classification. It also provides a promising approach for identifying reliable biomarkers, paving the way for personalized medicine.",38254021,PMC10802018,10.1186/s12864-024-09985-7,0,BMC genomics,100965258,4.547,0.7446563243865967,0.0,0.2809364548494983,0.5029810856018576
Identification of cancer risk groups through multi-omics integration using autoencoder and tensor analysis,"Identifying cancer risk groups by multi-omics has attracted researchers in their quest to find biomarkers from diverse risk-related omics. Stratifying the patients into cancer risk groups using genomics is essential for clinicians for pre-prevention treatment to improve the survival time for patients and identify the appropriate therapy strategies. This study proposes a multi-omics framework that can extract the features from various omics simultaneously. The framework employs autoencoders to learn the non-linear representation of the data and applies tensor analysis for feature learning. Further, the clustering method is used to stratify the patients into multiple cancer risk groups. Several omics were included in the experiments, namely methylation, somatic copy-number variation (SCNV), micro RNA (miRNA) and RNA sequencing (RNAseq) from two cancer types, including Glioma and Breast Invasive Carcinoma from the TCGA dataset. The results of this study are promising, as evidenced by the survival analysis and classification models, which outperformed the state-of-the-art. The patients can be significantly (p-value<0.05) divided into risk groups using extracted latent variables from the fused multi-omics data. The pipeline is open source to help researchers and clinicians identify the patients' risk groups using genomics.",38760420,PMC11101416,10.1038/s41598-024-59670-8,0,Scientific reports,101563288,4.996,0.7405498623847961,0.0033444816053511705,0.38461538461538464,0.5219218906750249
Integrative analysis of multi-omics data for liquid biopsy,"The innovation of liquid biopsy holds great potential to revolutionise cancer management through early diagnosis and timely treatment of cancer. Integrative analysis of different tumour-derived omics data (such as genomics, epigenetics, fragmentomics, and proteomics) from body fluids for cancer detection and monitoring could outperform the analysis of single modality data alone. In this review, we focussed on the discussion of early cancer detection and molecular residual disease surveillance based on multi-omics data of blood. We summarised diverse types of tumour-derived components, current popular platforms for profiling cancer-associated signals, machine learning approaches for joint analysis of liquid biopsy data, as well as multi-omics-based early detection of cancers, molecular residual disease monitoring, and treatment response surveillance. We also discussed the challenges and future directions of multi-omics-based liquid biopsy. With the development of both experimental protocols and computational methods dedicated to liquid biopsy, the implementation of multi-omics strategies into the clinical workflow will likely benefit the clinical management of cancers including decision-making guidance and patient outcome improvement.",36357703,PMC9938261,10.1038/s41416-022-02048-2,5,British journal of cancer,370635,9.075,0.7299049496650696,0.5351170568561873,0.802675585284281,0.7055014982271354
Characterization of cancer subtypes associated with clinical outcomes by multi-omics integrative clustering,"Cancer patients show heterogeneous phenotypes and very different outcomes and responses even to common treatments, such as standard chemotherapy. This state-of-affairs has motivated the need for the comprehensive characterization of cancer phenotypes and fueled the generation of large omics datasets, comprising multiple omics data reported for the same patients, which might now allow us to start deciphering cancer heterogeneity and implement personalized therapeutic strategies. In this work, we performed the analysis of four cancer types obtained from the latest efforts by The Cancer Genome Atlas, for which seven distinct omics data were available for each patient, in addition to curated clinical outcomes. We performed a uniform pipeline for raw data preprocessing and adopted the Cancer Integration via MultIkernel LeaRning (CIMLR) integrative clustering method to extract cancer subtypes. We then systematically review the discovered clusters for the considered cancer types, highlighting novel associations between the different omics and prognosis.",37267828,,10.1016/j.compbiomed.2023.107064,1,Computers in biology and medicine,1250250,6.698,0.7285552024841309,0.19732441471571907,0.5652173913043478,0.5896414826944919
