DOI,Title,Year,Semantic Scholar ID,URL,Intent,isInfluential
10.1016/j.sajb.2024.05.031,Evaluation of antioxidant activities and inhibition effects of Tribulus terrestris L. extracts on some metabolic enzymes,2024,d3bab243237df15242eaf4cc22ad9f1b301aaf46,https://www.semanticscholar.org/paper/d3bab243237df15242eaf4cc22ad9f1b301aaf46,,False
10.1038/s41598-024-62966-4,LncRNA TUG1 mediates microglial inflammatory activation by regulating glucose metabolic reprogramming,2024,1e061ff078cc15497f95f3819bf67060fbd9aaa0,https://www.semanticscholar.org/paper/1e061ff078cc15497f95f3819bf67060fbd9aaa0,,False
10.1016/j.brainresbull.2024.110988,SOCS modulates JAK-STAT pathway as a novel target to mediate the occurrence of neuroinflammation: Molecular details and treatment options,2024,81bbfd55e43626fe232e065fe1ee19ccc6f3c718,https://www.semanticscholar.org/paper/81bbfd55e43626fe232e065fe1ee19ccc6f3c718,background,False
10.3390/jcm13113098,Novel Therapeutic Strategies in Alzheimer’s Disease: Pitfalls and Challenges of Anti-Amyloid Therapies and Beyond,2024,bfdaba3b5f8f337e60b614827bd66c78f019a186,https://www.semanticscholar.org/paper/bfdaba3b5f8f337e60b614827bd66c78f019a186,,False
10.1097/CM9.0000000000003103,"Hypotension with neurovascular changes and cognitive dysfunction: An epidemiological, pathobiological, and treatment review.",2024,ebc7df10b9a10768771eecc1ce8bd52da2f8f13d,https://www.semanticscholar.org/paper/ebc7df10b9a10768771eecc1ce8bd52da2f8f13d,,False
10.1002/efd2.145,The potential use of natural killer cells to treat Alzheimer's disease: Can nutrition play a role?,2024,5e85036fa0f36cec873a02435415e3a19299878b,https://www.semanticscholar.org/paper/5e85036fa0f36cec873a02435415e3a19299878b,,False
10.1002/ibra.12155,"Amyloid‐β in Alzheimer's disease: Structure, toxicity, distribution, treatment, and prospects",2024,d7c8a1c5a9b7077a9314d71a14779f3a377b4e3f,https://www.semanticscholar.org/paper/d7c8a1c5a9b7077a9314d71a14779f3a377b4e3f,,False
10.1186/s40035-024-00422-z,CSF biomarkers of reactive glial cells are associated with blood–brain barrier leakage and white matter lesions,2024,f04e22afba214f4d8eb347016232780ceb5c6688,https://www.semanticscholar.org/paper/f04e22afba214f4d8eb347016232780ceb5c6688,,False
10.1101/2024.05.21.595199,Evaluation of altered cell-cell communication between glia and neurons in the hippocampus of 3xTg-AD mice at two time points,2024,d97af3d7b8f7d06d5f35793e88952abe3eb76f81,https://www.semanticscholar.org/paper/d97af3d7b8f7d06d5f35793e88952abe3eb76f81,,False
10.1016/j.expneurol.2024.114820,Establishment of a novel cellular model for Alzheimer's disease in vitro studies,2024,2cf0cde78c44f1cec44def0d608aedd12ea93495,https://www.semanticscholar.org/paper/2cf0cde78c44f1cec44def0d608aedd12ea93495,,False
10.1002/adma.202314354,Bio-Nano Toolbox for Precision Alzheimer's Disease Gene Therapy.,2024,817584411d81a0778804df9455d582a688721fb7,https://www.semanticscholar.org/paper/817584411d81a0778804df9455d582a688721fb7,,False
10.1186/s40035-024-00417-w,Considerations for biomarker strategies in clinical trials investigating tau-targeting therapeutics for Alzheimer’s disease,2024,5eab4bc6ddf4c10bc8008cac1816d144d08592b0,https://www.semanticscholar.org/paper/5eab4bc6ddf4c10bc8008cac1816d144d08592b0,,False
10.1021/acsmedchemlett.3c00532,Benzodioxane Carboxamide Derivatives As Novel Monoamine Oxidase B Inhibitors with Antineuroinflammatory Activity,2024,3c3003bce6b7986031d6733be374b93cd57cf3a2,https://www.semanticscholar.org/paper/3c3003bce6b7986031d6733be374b93cd57cf3a2,,False
10.1016/j.biopha.2024.116753,E3 ligases and DUBs target ferroptosis: A potential therapeutic strategy for neurodegenerative diseases.,2024,bdab5a0e6364ffe5c86b87d25aaae8634c01828f,https://www.semanticscholar.org/paper/bdab5a0e6364ffe5c86b87d25aaae8634c01828f,,False
10.1016/j.neubiorev.2024.105724,"Aging, sex, metabolic and life experience factors: Contributions to neuro-inflammaging in Alzheimer’s disease research",2024,397af57d6ae30f2c1b9e3d060251afa10e1b38ac,https://www.semanticscholar.org/paper/397af57d6ae30f2c1b9e3d060251afa10e1b38ac,background,False
10.3233/JAD-231471,Search in the Periphery for Potential Inflammatory Biomarkers of Dementia with Lewy Bodies and Alzheimer's Disease.,2024,0e059e7b15ec69438f90cf1c43d20e2760866ff5,https://www.semanticscholar.org/paper/0e059e7b15ec69438f90cf1c43d20e2760866ff5,,False
10.1021/acschemneuro.4c00061,First in Class Dual Non-ATP-Competitive Glycogen Synthase Kinase 3β/Histone Deacetylase Inhibitors as a Potential Therapeutic to Treat Alzheimer's Disease.,2024,688e9aa49bfff2cd56b25f956e8843226f102924,https://www.semanticscholar.org/paper/688e9aa49bfff2cd56b25f956e8843226f102924,,False
10.3389/fneur.2024.1391625,Alzheimer’s disease and oral manifestations: a bi-directional Mendelian randomization study,2024,c7256cca754494cccc599a4e01cd0175c2672183,https://www.semanticscholar.org/paper/c7256cca754494cccc599a4e01cd0175c2672183,,False
10.1016/j.intimp.2024.112259,PLC-CN-NFAT1 signaling-mediated Aβ and IL-1β crosstalk synergistically promotes hippocampal neuronal damage.,2024,d0c0c039ea1eff2753347c95c923990442310f45,https://www.semanticscholar.org/paper/d0c0c039ea1eff2753347c95c923990442310f45,,False
10.1007/s12602-024-10277-5,Temporin-GHaR Peptide Alleviates LPS-Induced Cognitive Impairment and Microglial Activation by Modulating Endoplasmic Reticulum Stress.,2024,1570864996bd9fe6d15e68f266a6900f2ab75e8a,https://www.semanticscholar.org/paper/1570864996bd9fe6d15e68f266a6900f2ab75e8a,,False
