DOI,Title,year,Abstract,Semantic Scholar ID,url,PMID,PMCID,intent,isinfluential,journal_title,Journal_id,relevance_score,similarity,Cited Number,impact_factor,cited_Normalized,impact_Normalized,final_score
10.1038/s41588-021-00894-z,Single-nucleus chromatin accessibility and transcriptomic characterization of        Alzheimer's disease.,2021.0,"The gene-regulatory landscape of the brain is highly dynamic in health and        disease, coordinating a menagerie of biological processes across distinct cell        types. Here, we present a multi-omic single-nucleus study of 191,890 nuclei in        late-stage Alzheimer's disease (AD), accessible through our web portal, profiling        chromatin accessibility and gene expression in the same biological samples and        uncovering vast cellular heterogeneity. We identified cell-type-specific,        disease-associated candidate cis-regulatory elements and their candidate target        genes, including an oligodendrocyte-associated regulatory module containing links        to APOE and CLU. We describe cis-regulatory relationships in specific cell types        at a subset of AD risk loci defined by genome-wide association studies,        demonstrating the utility of this multi-omic single-nucleus approach. Trajectory        analysis of glial populations identified disease-relevant transcription factors,        such as SREBF1, and their regulatory targets. Finally, we introduce        single-nucleus consensus weighted gene coexpression analysis, a coexpression        network analysis strategy robust to sparse single-cell data, and perform a        systems-level analysis of the AD transcriptome.",04c46912191f7759a4edb9dbd689b651e3bc2f11,https://www.semanticscholar.org/paper/04c46912191f7759a4edb9dbd689b651e3bc2f11,34239132,PMC8766217,,False,Nature genetics,9216904,0.8219033479690552,0.05128205128205128,241,41.307,0.9748743718592965,0.9547738693467337,0.5565310610844416
10.1111/bpa.12878,Considerations for integrative multi-omic approaches to explore Alzheimer's        disease mechanisms.,2020.0,"The past decade has seen the maturation of multiple different forms of        high-dimensional molecular profiling to the point that these methods could be        deployed in initially hundreds and more recently thousands of human samples. In        the field of Alzheimer's disease (AD), these profiles have been applied to the        target organ: the aging brain. In a growing number of cases, the same samples        were profiled with multiple different approaches, yielding genetic,        transcriptomic, epigenomic and proteomic data. Here, we review lessons learned so        far as we move beyond quantitative trait locus (QTL) analyses which map the        effect of genetic variation on molecular features to integrate multiple levels of        ""omic"" data in an effort to identify the molecular drivers of AD. One thing is        clear: no single layer of molecular or ""omic"" data is sufficient to capture the        variance of AD or aging-related cognitive decline. Nonetheless, reproducible        findings are emerging from current efforts, and there is evidence of convergence        using different approaches. Thus, we are on the cusp of an acceleration of truly        integrative studies as the availability of large numbers of well-characterized        brain samples profiled in three or more dimensions enables the testing,        comparison and refinement of analytic methods with which to dissect the molecular        architecture of the aging brain.",f4f260ee91ca415532bccc4de8d0016594d51345,https://www.semanticscholar.org/paper/f4f260ee91ca415532bccc4de8d0016594d51345,32654306,PMC8018035,methodology,False,"Brain pathology (Zurich, Switzerland)",9216781,0.8048664331436157,0.02127659574468085,9,7.611,0.4623115577889447,0.5728643216080402,0.40524695015050477
10.1016/j.nbd.2021.105530,Systems biology approaches to unravel the molecular and genetic architecture of        Alzheimer's disease and related tauopathies.,2021.0,"Over the years, genetic studies have identified multiple genetic risk variants        associated with neurodegenerative disorders and helped reveal new biological        pathways and genes of interest. However, genetic risk variants commonly reside in        non-coding regions and may regulate distant genes rather than the nearest gene,        as well as a gene's interaction partners in biological networks. Systems biology        and functional genomics approaches provide the framework to unravel the        functional significance of genetic risk variants in disease. In this review, we        summarize the genetic and transcriptomic studies of Alzheimer's disease and        related tauopathies and focus on the advantages of performing systems-level        analyses to interrogate the biological pathways underlying neurodegeneration.        Finally, we highlight new avenues of multi-omics analysis with single-cell        approaches, which provide unparalleled opportunities to systematically explore        cellular heterogeneity, and present an example of how to integrate publicly        available single-cell datasets. Systems-level analysis has illuminated the        function of many disease risk genes, but much work remains to study tauopathies        and to understand spatiotemporal gene expression changes of specific cell types.",b79878c6fae9b838e6b702c66c7cfaf1fcf912d4,https://www.semanticscholar.org/paper/b79878c6fae9b838e6b702c66c7cfaf1fcf912d4,34634459,PMC8616667,background,False,Neurobiology of disease,9500169,0.7713271975517273,0.02877697841726619,5,7.046,0.35678391959798994,0.5477386934673367,0.37858734259222365
10.3389/fnsyn.2021.773590,Microglia Heterogeneity in Alzheimer's Disease: Insights From Single-Cell        Technologies.,2021.0,"Microglia are resident immune cells in the central nervous system and play        critical roles in brain immunity, development, and homeostasis. The pathology of        Alzheimer's disease (AD) triggers activation of microglia. Microglia express many        AD risk genes, suggesting that their response to AD pathology can affect disease        progression. Microglia have long been considered a homogenous cell population.        The diversity of microglia has gained great interest in recent years due to the        emergence of novel single-cell technologies, such as single-cell/nucleus RNA        sequencing and single-cell mass cytometry by time-of-flight. This review        summarizes the current knowledge about the diversity/heterogeneity of microglia        and distinct microglia states in the brain of both AD mouse models and patients,        as revealed by single-cell technologies. It also discusses the future        developments for application of single-cell technologies and the integration of        these technologies with functional studies to further dissect microglia biology        in AD. Defining the functional correlates of distinct microglia states will shed        new light on the pathological roles of microglia and might uncover new relevant        therapeutic targets for AD.",05dda20b02a47875fa166cdc5537dd5a20fe73af,https://www.semanticscholar.org/paper/05dda20b02a47875fa166cdc5537dd5a20fe73af,35002670,PMC8735255,,False,Frontiers in synaptic neuroscience,101548972,0.7492707371711731,0.04054054054054054,21,3.567,0.6934673366834171,0.22110552763819097,0.37818336701580935
10.1186/s13578-023-01120-5,Integrative single-nucleus multi-omics analysis prioritizes candidate cis and        trans regulatory networks and their target genes in Alzheimer's disease brains.,2023.0,"BACKGROUND: The genetic underpinnings of late-onset Alzheimer's disease (LOAD)        are yet to be fully elucidated. Although numerous LOAD-associated loci have been        discovered, the causal variants and their target genes remain largely unknown.        Since the brain is composed of heterogenous cell subtypes, it is imperative to        study the brain on a cell subtype specific level to explore the biological        processes underlying LOAD. METHODS: Here, we present the largest parallel        single-nucleus (sn) multi-omics study to simultaneously profile gene expression        (snRNA-seq) and chromatin accessibility (snATAC-seq) to date, using nuclei from        12 normal and 12 LOAD brains. We identified cell subtype clusters based on gene        expression and chromatin accessibility profiles and characterized cell        subtype-specific LOAD-associated differentially expressed genes (DEGs),        differentially accessible peaks (DAPs) and cis co-accessibility networks (CCANs).        RESULTS: Integrative analysis defined disease-relevant CCANs in multiple cell        subtypes and discovered LOAD-associated cell subtype-specific candidate cis        regulatory elements (cCREs), their candidate target genes, and trans-interacting        transcription factors (TFs), some of which, including ELK1, JUN, and SMAD4 in        excitatory neurons, were also LOAD-DEGs. Finally, we focused on a subset of cell        subtype-specific CCANs that overlap known LOAD-GWAS regions and catalogued        putative functional SNPs changing the affinities of TF motifs within LOAD-cCREs        linked to LOAD-DEGs, including APOE and MYO1E in a specific subtype of microglia        and BIN1 in a subpopulation of oligodendrocytes. CONCLUSIONS: To our knowledge,        this study represents the most comprehensive systematic interrogation to date of        regulatory networks and the impact of genetic variants on gene dysregulation in        LOAD at a cell subtype resolution. Our findings reveal crosstalk between        epigenetic, genomic, and transcriptomic determinants of LOAD pathogenesis and        define catalogues of candidate genes, cCREs, and variants involved in LOAD        genetic etiology and the cell subtypes in which they act to exert their        pathogenic effects. Overall, these results suggest that cell subtype-specific        cis-trans interactions between regulatory elements and TFs, and the genes        dysregulated by these networks contribute to the development of LOAD.",322682daddf1f63e289464e18d30fefcf6c804f8,https://www.semanticscholar.org/paper/322682daddf1f63e289464e18d30fefcf6c804f8,37789374,PMC10546724,,False,Cell & bioscience,101561195,0.7455836534500122,0.014814814814814815,0,9.584,0.0,0.6432160804020101,0.3260834340212311
10.1038/s41593-022-01222-2,Insights into Alzheimer's disease from single-cell genomic approaches.,2023.0,"Alzheimer's disease (AD) is an age-related disease pathologically defined by the        deposition of amyloid plaques and neurofibrillary tangles in the brain        parenchyma. Single-cell profiling has shown that Alzheimer's dementia involves        the complex interplay of virtually every major brain cell type. Here, we        highlight cell-type-specific molecular perturbations in AD. We discuss how        genomic information from single cells expands existing paradigms of AD        pathogenesis and highlight new opportunities for therapeutic interventions.",83139c7e41f109a28675cd7b6c23321597ace9c1,https://www.semanticscholar.org/paper/83139c7e41f109a28675cd7b6c23321597ace9c1,36593328,PMC10155598,,False,Nature neuroscience,9809671,0.7364006042480469,0.039735099337748346,34,28.771,0.7738693467336684,0.914572864321608,0.4900805526678048
10.1186/s13073-022-01136-5,Cell type-specific changes identified by single-cell transcriptomics in        Alzheimer's disease.,2022.0,"The rapid advancement of single-cell transcriptomics in neurology has allowed for        profiling of post-mortem human brain tissue across multiple diseases. Over the        past 3 years, several studies have examined tissue from donors with and without        diagnoses of Alzheimer's disease, highlighting key changes in cell type        composition and molecular signatures associated with pathology and, in some        cases, cognitive decline. Although all of these studies have generated        single-cell/nucleus RNA-seq or ATAC-seq data from the full array of major cell        classes in the brain, they have each focused on changes in specific cell types.        Here, we synthesize the main findings from these studies and contextualize them        in the overall space of large-scale omics studies of Alzheimer's disease.        Finally, we touch upon new horizons in the field, in particular advancements in        high-resolution spatial interrogation of tissue and multi-modal efforts-and how        they are likely to further advance mechanistic and target-selection studies on        Alzheimer's disease.",90c3c42c6af425a46e4d9aa11f49f8ffda835d67,https://www.semanticscholar.org/paper/90c3c42c6af425a46e4d9aa11f49f8ffda835d67,36447241,PMC9710120,background,True,Genome medicine,101475844,0.725551426410675,0.0379746835443038,13,15.266,0.542713567839196,0.7386934673366834,0.4250663566173059
10.1101/2024.04.23.590816,Single-nucleus and spatial transcriptomic profiling of human temporal cortex and        white matter reveals novel associations with AD pathology.,2024.0,"Alzheimer's disease (AD) is a neurodegenerative disorder with complex        pathological manifestations and is the leading cause of cognitive decline and        dementia in elderly individuals. A major goal in AD research is to identify new        therapeutic pathways by studying the molecular and cellular changes in the        disease, either downstream or upstream of the pathological hallmarks. In this        study, we present a comprehensive investigation of cellular heterogeneity from        the temporal cortex region of 40 individuals, comprising healthy donors and        individuals with differing tau and amyloid burden. Using single-nucleus        transcriptome analysis of 430,271 nuclei from both gray and white matter of these        individuals, we identified cell type-specific subclusters in both neuronal and        glial cell types with varying degrees of association with AD pathology. In        particular, these associations are present in layer specific glutamatergic        (excitatory) neuronal types, along with GABAergic (inhibitory) neurons and glial        subtypes. These associations were observed in early as well as late pathological        progression. We extended this analysis by performing multiplexed in situ        hybridization using the CARTANA platform, capturing 155 genes in 13 individuals        with varying levels of tau pathology. By modeling the spatial distribution of        these genes and their associations with the pathology, we not only replicated key        findings from our snRNA data analysis, but also identified a set of cell        type-specific genes that show selective enrichment or depletion near pathological        inclusions. Together, our findings allow us to prioritize specific cell types and        pathways for targeted interventions at various stages of pathological progression        in AD.",e6e5baf8e67bcc514d517c90d3c5fb4972100bf7,https://www.semanticscholar.org/paper/e6e5baf8e67bcc514d517c90d3c5fb4972100bf7,38712204,PMC11071354,"methodology,result,background",False,bioRxiv : the preprint server for biology,101680187,0.7063930630683899,0.0196078431372549,0,0.0,0.005025125628140704,0.0,0.22051482501964
10.21203/rs.3.rs-2921860/v1,Integrated multimodal cell atlas of Alzheimer's disease.,2023.0,"Alzheimer's disease (AD) is the most common cause of dementia in older adults.        Neuropathological and imaging studies have demonstrated a progressive and        stereotyped accumulation of protein aggregates, but the underlying molecular and        cellular mechanisms driving AD progression and vulnerable cell populations        affected by disease remain coarsely understood. The current study harnesses        single cell and spatial genomics tools and knowledge from the BRAIN Initiative        Cell Census Network to understand the impact of disease progression on middle        temporal gyrus cell types. We used image-based quantitative neuropathology to        place 84 donors spanning the spectrum of AD pathology along a continuous disease        pseudoprogression score and multiomic technologies to profile single nuclei from        each donor, mapping their transcriptomes, epigenomes, and spatial coordinates to        a common cell type reference with unprecedented resolution. Temporal analysis of        cell-type proportions indicated an early reduction of Somatostatin-expressing        neuronal subtypes and a late decrease of supragranular        intratelencephalic-projecting excitatory and Parvalbumin-expressing neurons, with        increases in disease-associated microglial and astrocytic states. We found        complex gene expression differences, ranging from global to cell type-specific        effects. These effects showed different temporal patterns indicating diverse        cellular perturbations as a function of disease progression. A subset of donors        showed a particularly severe cellular and molecular phenotype, which correlated        with steeper cognitive decline. We have created a freely available public        resource to explore these data and to accelerate progress in AD research at        SEA-AD.org.",4ded827d26e55408384b621138c9cc4b7dfe9ec4,https://www.semanticscholar.org/paper/4ded827d26e55408384b621138c9cc4b7dfe9ec4,37292694,PMC10246227,,False,Research square,101768035,0.6988435387611389,0.025,22,0.0,0.7085427135678392,0.005025125628140704,0.3266882375077387
10.1126/sciadv.abo6764,"Unified epigenomic, transcriptomic, proteomic, and metabolomic taxonomy of        Alzheimer's disease progression and heterogeneity.",2022.0,"Alzheimer's disease (AD) is a heterogeneous disorder with abnormalities in        multiple biological domains. In an advanced machine learning analysis of        postmortem brain and in vivo blood multi-omics molecular data (N = 1863), we        integrated epigenomic, transcriptomic, proteomic, and metabolomic profiles into a        multilevel biological AD taxonomy. We obtained a personalized multilevel        molecular index of AD dementia progression that predicts severity of        neuropathologies, and identified three robust molecular-based subtypes that        explain much of the pathologic and clinical heterogeneity of AD. These subtypes        present distinct patterns of alteration in DNA methylation, RNA, proteins, and        metabolites, identifiable in the brain and subsequently in blood. In addition,        the genetic variations that predispose to the various AD subtypes in brain        predict distinct spatial patterns of alteration in cell types, suggesting a        unique influence of each putative AD variant on neuropathological mechanisms.        These observations support that an individually tailored multi-omics molecular        taxonomy of AD may represent distinct targets for preventive or treatment        interventions.",bb5f492fbad0c871faa348009fcf82b9693af60f,https://www.semanticscholar.org/paper/bb5f492fbad0c871faa348009fcf82b9693af60f,36399579,PMC9674284,,False,Science advances,101653440,0.6716859340667725,0.0,15,14.957,0.5728643216080402,0.7185929648241206,0.39522437318485587
