Title,Abstract,PMID,PMCID,DOI,Cited Number,journal_title,Journal_id,impact_factor,relevance_score,cited_Normalized,impact_Normalized,final_score
Single-Cell Transcriptomic Analyses of Cell Fate Transitions during Human Cardiac Reprogramming,"Direct cellular reprogramming provides a powerful platform to study cell plasticity and dissect mechanisms underlying cell fate determination. Here, we report a single-cell transcriptomic study of human cardiac (hiCM) reprogramming that utilizes an analysis pipeline incorporating current data normalization methods, multiple trajectory prediction algorithms, and a cell fate index calculation we developed to measure reprogramming progression. These analyses revealed hiCM reprogramming-specific features and a decision point at which cells either embark on reprogramming or regress toward their original fibroblast state. In combination with functional screening, we found that immune-response-associated DNA methylation is required for hiCM induction and validated several downstream targets of reprogramming factors as necessary for productive hiCM reprograming. Collectively, this single-cell transcriptomics study provides detailed datasets that reveal molecular features underlying hiCM determination and rigorous analytical pipelines for predicting cell fate conversion.",31230860,PMC6684137,10.1016/j.stem.2019.05.020,66,Cell stem cell,101311472,25.269,0.9144436717033386,0.802675585284281,0.8561872909698997,0.8804387782728392
Integrative analysis of single-cell embryo data reveals transcriptome signatures for the human pre-implantation inner cell mass,"As the source of embryonic stem cells (ESCs), inner cell mass (ICM) can form all tissues of the embryo proper, however, its role in early human lineage specification remains controversial. Although a stepwise differentiation model has been proposed suggesting the existence of ICM as a distinct developmental stage, the underlying molecular mechanism remains unclear. In the present study, we perform an integrated analysis on the public human preimplantation embryonic single-cell transcriptomic data and apply a trajectory inference algorithm to measure the cell plasticity. In our results, ICM population can be clearly discriminated on the dimension-reduced graph and confirmed by compelling evidences, thus validating the two-step hypothesis of lineage commitment. According to the branch probabilities and differentiation potential, we determine the precise time points for two lineage segregations. Further analysis on gene expression dynamics and regulatory network indicates that transcription factors including GSC, PRDM1, and SPIC may underlie the decisions of ICM fate. In addition, new human ICM marker genes, such as EPHA4 and CCR8 are discovered and validated by immunofluorescence. Given the potential clinical applications of ESCs, our analysis provides a further understanding of human ICM cells and facilitates the exploration of more unique characteristics in early human development.",37437860,,10.1016/j.ydbio.2023.07.004,0,Developmental biology,372762,3.148,0.8751482367515564,0.0,0.15384615384615385,0.5558581728201646
Integrated analysis of single-cell embryo data yields a unified transcriptome signature for the human pre-implantation epiblast,"Single-cell profiling techniques create opportunities to delineate cell fate progression in mammalian development. Recent studies have provided transcriptome data from human pre-implantation embryos, in total comprising nearly 2000 individual cells. Interpretation of these data is confounded by biological factors, such as variable embryo staging and cell-type ambiguity, as well as technical challenges in the collective analysis of datasets produced with different sample preparation and sequencing protocols. Here, we address these issues to assemble a complete gene expression time course spanning human pre-implantation embryogenesis. We identify key transcriptional features over developmental time and elucidate lineage-specific regulatory networks. We resolve post-hoc cell-type assignment in the blastocyst, and define robust transcriptional prototypes that capture epiblast and primitive endoderm lineages. Examination of human pluripotent stem cell transcriptomes in this framework identifies culture conditions that sustain a naÃ¯ve state pertaining to the inner cell mass. Our approach thus clarifies understanding both of lineage segregation in the early human embryo and ofin vitrostem cell identity, and provides an analytical resource for comparative molecular embryology.",29361568,PMC5818005,10.1242/dev.158501,92,"Development (Cambridge, England)",8701744,6.862,0.8558511734008789,0.8729096989966555,0.38127090301003347,0.7643468244418652
Using Single-Cell and Spatial Transcriptomes to Understand Stem Cell Lineage Specification During Early Embryo Development,"Embryonic development and stem cell differentiation provide a paradigm to understand the molecular regulation of coordinated cell fate determination and the architecture of tissue patterning. Emerging technologies such as single-cell RNA sequencing and spatial transcriptomics are opening new avenues to dissect cell organization, the divergence of morphological and molecular properties, and lineage allocation. Rapid advances in experimental and computational tools have enabled researchers to make many discoveries and revisit old hypotheses. In this review, we describe the use of single-cell RNA sequencing in studies of molecular trajectories and gene regulation networks for stem cell lineages, while highlighting the integratedexperimental and computational analysis of single-cell and spatial transcriptomes in the molecular annotation of tissue lineages and development during postimplantation gastrulation.",32339035,,10.1146/annurev-genom-120219-083220,20,Annual review of genomics and human genetics,100911346,9.34,0.8478417992591858,0.6153846153846154,0.5418060200668896,0.7401432066458125
"Single cell transcriptome analysis of human, marmoset and mouse embryos reveals common and divergent features of preimplantation development","The mouse embryo is the canonical model for mammalian preimplantation development. Recent advances in single cell profiling allow detailed analysis of embryogenesis in other eutherian species, including human, to distinguish conserved from divergent regulatory programs and signalling pathways in the rodent paradigm. Here, we identify and compare transcriptional features of human, marmoset and mouse embryos by single cell RNA-seq. Zygotic genome activation correlates with the presence of polycomb repressive complexes in all three species, while ribosome biogenesis emerges as a predominant attribute in primate embryos, supporting prolonged translation of maternally deposited RNAs. We find that transposable element expression signatures are species, stage and lineage specific. The pluripotency network in the primate epiblast lacks certain regulators that are operative in mouse, but encompasses WNT components and genes associated with trophoblast specification. Sequential activation of GATA6, SOX17 and GATA4 markers of primitive endoderm identity is conserved in primates. Unexpectedly, OTX2 is also associated with primitive endoderm specification in human and non-human primate blastocysts. Our cross-species analysis demarcates both conserved and primate-specific features of preimplantation development, and underscores the molecular adaptability of early mammalian embryogenesis.",30413530,PMC6240320,10.1242/dev.167833,90,"Development (Cambridge, England)",8701744,6.862,0.7662936449050903,0.8695652173913043,0.38461538461538464,0.710612307344392
Comparative single-cell transcriptomic profiles of human androgenotes and parthenogenotes during early development,"Objective:To unravel the differential transcriptomic behavior of human androgenotes (AGs) and parthenogenotes (PGs) throughout the first cell cycles, analyze the differential expression of genes related to key biologic processes, and determine the time frame for embryonic genome activation (EGA) in AGs and PGs.Design:Laboratory study.Setting:Private fertility clinic.Patient(s):Mature oocytes were retrieved from healthy donors and subjected to artificial oocyte activation using calcium ionophore and puromycin to generate PGs (n = 6) or enucleated and subjected to intracytoplasmic sperm injection to generate AGs (n = 10).Intervention(s):Uniparental constructs at different early stages of development were disaggregated into constituent single cells (we suggest the terms parthenocytes and androcytes) to characterize the single-cell transcriptional landscape using next-generation sequencing.Main outcomes measure(s):Transcriptomic profiles comparison between different stages of early development in AGs and PGs.Result(s):The uniparental transcriptomic profiles at the first cell cycle showed 68 down-regulated and 26 up-regulated differentially expressed genes (DEGs) in PGs compared with AGs. During the third cell cycle, we found 60 up-regulated and 504 down-regulated DEGs in PGs compared with AGs. In the fourth cell cycle, 1,771 up-regulated and 1,171 down-regulated DEGs were found in PGs compared with AGs. The AGs and PGs had reduced EGA profiles during the first 3 cell cycles, and a spike of EGA at the fourth cell cycle was observed in PGs.Conclusion(s):Transcriptomic analysis of AGs and PGs revealed their complementary behavior until the fourth cell cycle. Androgenotes undergo a low wave of transcription during the first cell cycle, which reflects the paternal contribution to cell cycle coordination, mechanics of cell division, and novel transcription regulation. Maternal transcripts are most prominent in the third and fourth cell cycles, with amplification of transcription related to morphogenic progression and embryonic developmental competence acquisition. Regarding EGA, in PGs, a primitive EGA begins at the 1-cell stage and gradually progresses until the 4-cell stage, when crucial epigenetic reprogramming (through methylation) is up-regulated. In addition, our longitudinal single-cell transcriptomic analysis challenges that the zygote and early cleavage stages are the only totipotent entities, by revealing potential totipotency in cleavage-stage AGs and implications of paternal transcripts.",36563838,,10.1016/j.fertnstert.2022.12.027,0,Fertility and sterility,372772,7.49,0.7648916244506836,0.0033444816053511705,0.46488294314381273,0.5525804596202429
Single cell transcriptome profiling of developing chick retinal cells,"The vertebrate retina is a specialized photosensitive tissue comprised of six neuronal and one glial cell types, each of which develops in prescribed proportions at overlapping timepoints from a common progenitor pool. While each of these cells has a specific function contributing to proper vision in the mature animal, their differential representation in the retina as well as the presence of distinctive cellular subtypes makes identifying the transcriptomic signatures that lead to each retinal cell's fate determination and development challenging. We have analyzed transcriptomes from individual cells isolated from the chick retina throughout retinogenesis. While we focused our efforts on the retinal ganglion cells, our transcriptomes of developing chick cells also contained representation from multiple retinal cell types, including photoreceptors and interneurons at different stages of development. Most interesting was the identification of transcriptomes from individual mixed lineage progenitor cells in the chick as these cells offer a window into the cell fate decision-making process. Taken together, these data sets will enable us to uncover the most critical genes acting in the steps of cell fate determination and early differentiation of various retinal cell types.",28510275,,10.1002/cne.24241,8,The Journal of comparative neurology,406041,3.028,0.7581526637077332,0.451505016722408,0.1505016722408027,0.575292936017282
Reconstructing developmental trajectories using latent dynamical systems and time-resolved transcriptomics,"The snapshot nature of single-cell transcriptomics presents a challenge for studying the dynamics of cell fate decisions. Metabolic labeling and splicing can provide temporal information at single-cell level, but current methods have limitations. Here, we present a framework that overcomes these limitations: experimentally, we developed sci-FATE2, an optimized method for metabolic labeling with increased data quality, which we used to profile 45,000 embryonic stem (ES) cells differentiating into neural tube identities. Computationally, we developed a two-stage framework for dynamical modeling: VelvetVAE, a variational autoencoder (VAE) for velocity inference that outperforms all other tools tested, and VelvetSDE, a neural stochastic differential equation (nSDE) framework for simulating trajectory distributions. These recapitulate underlying dataset distributions and capture features such as decision boundaries between alternative fates and fate-specific gene expression. These methods recast single-cell analyses from descriptions of observed data to models of the dynamics that generated them, providing a framework for investigating developmental fate decisions.",38754365,,10.1016/j.cels.2024.04.004,0,Cell systems,101656080,11.091,0.7529220581054688,0.006688963210702341,0.6020066889632107,0.5734923652980639
Integrated pseudotime analysis of human pre-implantation embryo single-cell transcriptomes reveals the dynamics of lineage specification,"Understanding lineage specification during human pre-implantation development is a gateway to improving assisted reproductive technologies and stem cell research. Here we employ pseudotime analysis of single-cell RNA sequencing (scRNA-seq) data to reconstruct early mouse and human embryo development. Using time-lapse imaging of annotated embryos, we provide an integrated, ordered, and continuous analysis of transcriptomics changes throughout human development. We reveal that human trophectoderm/inner cell mass transcriptomes diverge at the transition from the B2 to the B3 blastocyst stage, just before blastocyst expansion. We explore the dynamics of the fate markers IFI16 and GATA4 and show that they gradually become mutually exclusive upon establishment of epiblast and primitive endoderm fates, respectively. We also provide evidence that NR2F2 marks trophectoderm maturation, initiating from the polar side, and subsequently spreads to all cells after implantation. Our study pinpoints the precise timing of lineage specification events in the human embryo and identifies transcriptomics hallmarks and cell fate markers.",34004179,,10.1016/j.stem.2021.04.027,56,Cell stem cell,101311472,25.269,0.7501869201660156,0.7759197324414716,0.8595317725752508,0.7772024531029539
Single-cell profiling for advancing birth defects research and prevention,"Cellular analysis of developmental processes and toxicities has traditionally entailed bulk methods (e.g., transcriptomics) that lack single cell resolution or tissue localization methods (e.g., immunostaining) that allow only a few genes to be monitored in each experiment. Recent technological advances have enabled interrogation of genomic function at the single-cell level, providing new opportunities to unravel developmental pathways and processes with unprecedented resolution. Here, we review emerging technologies of single-cell RNA-sequencing (scRNA-seq) to globally characterize the gene expression sets of different cell types and how different cell types emerge from earlier cell states in development. Cell atlases of experimental embryology and human embryogenesis at single-cell resolution will provide an encyclopedia of genes that define key stages from gastrulation to organogenesis. This technology, combined with computational models to discover key organizational principles, was recognized by Science magazine as the ""Breakthrough of the year"" for 2018 due to transformative potential on the way we study how human cells mature over a lifetime, how tissues regenerate, and how cells change in diseases (e.g., patient-derived organoids to screen disease-specific targets and design precision therapy). Profiling transcriptomes at the single-cell level can fulfill the need for greater detail in the molecular progression of all cell lineages, from pluripotency to adulthood and how cell-cell signaling pathways control progression at every step. Translational opportunities emerge for elucidating pathogenesis of genetic birth defects with cellular precision and improvements for predictive toxicology of chemical teratogenesis.",33496083,PMC8562675,10.1002/bdr2.1870,2,Birth defects research,101701004,2.661,0.7420480251312256,0.24414715719063546,0.13043478260869565,0.5201452030386016
