PMID,Title,DOI,Abstract,PMCID,Journal_title,Journal_id
29393664,"The 2018 Revision of the ISBER Best Practices: Summary of Changes and the 
       Editorial Team's Development Process.",10.1089/bio.2018.0001,"An increased need for specimens of reliable and consistent quality for research 
       purposes requires the development of standardized policies and practices for the 
       collection, handling, storage, retrieval, and distribution of specimens and 
       specimen-related data. Providers of specimen resources should strive to 
       incorporate new technologies and state-of-the-science approaches and thus ensure 
       the availability of fit-for-purpose research specimens. Strategies to achieve 
       quality outcomes and performance improvements often include adherence to 
       established standards and implementation of best practices. Although standards 
       represent a rigid set of guidelines that define exactly how a task should be 
       completed, best practices are recommended actions and principles that demonstrate 
       an awareness of standards, solve problems, can be replicated, and work in a given 
       context. Adoption of best practice elements will vary based on the goals and 
       circumstances of a given initiative, and in some instances, may not be possible 
       to implement or may represent an aspirational achievement. In an effort to 
       harmonize the scientific, technical, legal, and ethical issues relevant to 
       repositories of biological and environmental specimens, the International Society 
       for Biological and Environmental Repositories (ISBER) has released the updated 
       ISBER Best Practices: Recommendations for Repositories (ISBER Best Practices). 
       The document provides a comprehensive tool to guide repository professionals in 
       both managerial and technical aspects such as practical details on repository 
       governance, development, and operation; regulatory compliance; and ethical, 
       legal, and social issues relevant to repositories. This summary describes the 
       process for revising the document and summarizes the new topics, updates, and 
       areas of expansion included in the fourth edition of ISBER Best Practices.",PMC5846567,Biopreservation and biobanking,101507284
38165627,Establishing a Pregnancy Lyme Disease Biobank.,10.1007/978-1-0716-3561-2_17,"Availability of relevant biological samples supports both basic science research 
       and patient-centered clinical studies. Establishing a biorepository faces 
       challenges at multiple levels. These tasks include defining mission definition 
       and scope; selection of subjects and sample types; recruitment strategies; timing 
       of collection in the patient's journey; sample logistics and processing; 
       determining what clinical data to collect; ensuring sample integrity on 
       transport, processing, and storage; defining governance structures and oversight 
       responsibilities; clarifying sample provenance and ownership; establishing 
       procedures for sample and data access; selecting testing to be performed 
       routinely versus upon request, and management of results; data security; funding 
       sources; and regulatory compliance. Establishing and maintaining a biorepository 
       therefore requires careful planning, diligent and sustained execution, technical 
       and financial resources, stakeholder support, and flexible and resilient 
       management to respond to changing environments and needs.",,"Methods in molecular biology (Clifton, N.J.)",9214969
37893788,"Awareness, Attitudes and Willingness to Donate Biological Samples to a Biobank: A 
