PMID,Title,DOI,Abstract,PMCID,Journal_title,Journal_id
32253265,"Tumor Microenvironment Is Critical for the Maintenance of Cellular States Found 
       in Primary Glioblastomas.",10.1158/2159-8290.CD-20-0057,"Glioblastoma (GBM), an incurable tumor, remains difficult to model and more 
       importantly to treat due to its genetic/epigenetic heterogeneity and plasticity 
       across cellular states. The ability of current tumor models to recapitulate the 
       cellular states found in primary tumors remains unexplored. To address this 
       issue, we compared single-cell RNA sequencing of tumor cells from 5 patients 
       across four patient-specific glioblastoma stem cell (GSC)-derived model types, 
       including glioma spheres, tumor organoids, glioblastoma cerebral organoids 
       (GLICO), and patient-derived xenografts. We find that GSCs within the GLICO model 
       are enriched for a neural progenitor-like cell subpopulation and recapitulate the 
       cellular states and their plasticity found in the corresponding primary parental 
       tumors. These data demonstrate how the contribution of a neuroanatomically 
       accurate human microenvironment is critical and sufficient for recapitulating the 
       cellular states found in human primary GBMs, a principle that may likely apply to 
       other tumor models. SIGNIFICANCE: It has been unclear how well different 
       patient-derived GBM models are able to recreate the full heterogeneity of primary 
       tumors. Here, we provide a complete transcriptomic characterization of the major 
       model types. We show that the microenvironment is crucial for recapitulating GSC 
       cellular states, highlighting the importance of tumor-host cell interactions.See 
       related commentary by Luo and Weiss, p. 907.This article is highlighted in the In 
       This Issue feature, p. 890.",PMC10256258,Cancer discovery,101561693
38724522,"Pervasive structural heterogeneity rewires glioblastoma chromosomes to sustain 
       patient-specific transcriptional programs.",10.1038/s41467-024-48053-2,"Glioblastoma multiforme (GBM) encompasses brain malignancies marked by phenotypic 
       and transcriptional heterogeneity thought to render these tumors aggressive, 
       resistant to therapy, and inevitably recurrent. However, little is known about 
       how the spatial organization of GBM genomes underlies this heterogeneity and its 
       effects. Here, we compile a cohort of 28 patient-derived glioblastoma stem 
       cell-like lines (GSCs) known to reflect the properties of their tumor-of-origin; 
       six of these were primary-relapse tumor pairs from the same patient. We generate 
       and analyze 5 kbp-resolution chromosome conformation capture (Hi-C) data from all 
       GSCs to systematically map thousands of standalone and complex structural 
       variants (SVs) and the multitude of neoloops arising as a result. By combining 
       Hi-C, histone modification, and gene expression data with chromatin folding 
       simulations, we explain how the pervasive, uneven, and idiosyncratic occurrence 
       of neoloops sustains tumor-specific transcriptional programs via the formation of 
       new enhancer-promoter contacts. We also show how even moderately recurrent 
       neoloops can relate to patient-specific vulnerabilities. Together, our data 
       provide a resource for dissecting GBM biology and heterogeneity, as well as for 
       informing therapeutic approaches.",PMC11082206,Nature communications,101528555
38596241,Glioblastoma modeling with 3D organoids: progress and challenges.,10.1093/oons/kvad008,"Glioblastoma (GBM) is the most aggressive adult primary brain tumor with nearly 
       universal treatment resistance and recurrence. The mainstay of therapy remains 
       maximal safe surgical resection followed by concurrent radiation therapy and 
       temozolomide chemotherapy. Despite intensive investigation, alternative treatment 
       options, such as immunotherapy or targeted molecular therapy, have yielded 
       limited success to achieve long-term remission. This difficulty is partly due to 
       the lack of pre-clinical models that fully recapitulate the intratumoral and 
       intertumoral heterogeneity of GBM and the complex tumor microenvironment. 
       Recently, GBM 3D organoids originating from resected patient tumors, genetic 
       manipulation of induced pluripotent stem cell (iPSC)-derived brain organoids and 
       bio-printing or fusion with non-malignant tissues have emerged as novel culture 
       systems to portray the biology of GBM. Here, we highlight several methodologies 
       for generating GBM organoids and discuss insights gained using such organoid 
       models compared to classic modeling approaches using cell lines and xenografts. 
       We also outline limitations of current GBM 3D organoids, most notably the 
       difficulty retaining the tumor microenvironment, and discuss current efforts for 
       improvements. Finally, we propose potential applications of organoid models for a 
       deeper mechanistic understanding of GBM and therapeutic development.",PMC10913843,Oxford open neuroscience,9918487584406676
38528608,"Chronic hypoxia remodels the tumor microenvironment to support glioma stem cell 
       growth.",10.1186/s40478-024-01755-6,"Cerebral organoids co-cultured with patient derived glioma stem cells (GLICOs) 
       are an experimentally tractable research tool useful for investigating the role 
       of the human brain tumor microenvironment in glioblastoma. Here we describe 
       long-term GLICOs, a novel model in which COs are grown from embryonic stem cell 
       cultures containing low levels of GSCs and tumor development is monitored over 
       extended durations (ltGLICOs). Single-cell profiling of ltGLICOs revealed an 
       unexpectedly long latency period prior to GSC expansion, and that normal organoid 
       development was unimpaired by the presence of low numbers of GSCs. However, as 
       organoids age they experience chronic hypoxia and oxidative stress which remodels 
       the tumor microenvironment to promote GSC expansion. Receptor-ligand modelling 
       identified astrocytes, which secreted various pro-tumorigenic ligands including 
       FGF1, as the primary cell type for GSC crosstalk and single-cell multi-omic 
       analysis revealed these astrocytes were under the control of ischemic regulatory 
       networks. Functional validation confirmed hypoxia as a driver of pro-tumorigenic 
       astrocytic ligand secretion and that GSC expansion was accelerated by 
       pharmacological induction of oxidative stress. When controlled for genotype, the 
       close association between glioma aggressiveness and patient age has very few 
       proposed biological explanations. Our findings indicate that age-associated 
       increases in cerebral vascular insufficiency and associated regional chronic 
       cerebral hypoxia may contribute to this phenomenon.",PMC10964514,Acta neuropathologica communications,101610673
38391963,"Subtype Transdifferentiation in Human Cancer: The Power of Tissue Plasticity in 
       Tumor Progression.",10.3390/cells13040350,"The classification of tumors into subtypes, characterized by phenotypes 
       determined by specific differentiation pathways, aids diagnosis and directs 
       therapy towards targeted approaches. However, with the advent and explosion of 
       next-generation sequencing, cancer phenotypes are turning out to be far more 
       heterogenous than initially thought, and the classification is continually being 
       updated to include more subtypes. Tumors are indeed highly dynamic, and they can 
       evolve and undergo various changes in their characteristics during disease 
       progression. The picture becomes even more complex when the tumor responds to a 
       therapy. In all these cases, cancer cells acquire the ability to 
       transdifferentiate, changing subtype, and adapt to changing microenvironments. 
       These modifications affect the tumor's growth rate, invasiveness, response to 
       treatment, and overall clinical behavior. Studying tumor subtype transitions is 
       crucial for understanding tumor evolution, predicting disease outcomes, and 
       developing personalized treatment strategies. We discuss this emerging hallmark 
       of cancer and the molecular mechanisms involved at the crossroads between tumor 
       cells and their microenvironment, focusing on four different human cancers in 
       which tissue plasticity causes a subtype switch: breast cancer, prostate cancer, 
       glioblastoma, and pancreatic adenocarcinoma.",PMC10887430,Cells,101600052
38353122,Stem cell modeling of nervous system tumors.,10.1242/dmm.050533,"Nervous system tumors, particularly brain tumors, represent the most common 
       tumors in children and one of the most lethal tumors in adults. Despite decades 
       of research, there are few effective therapies for these cancers. Although human 
       nervous system tumor cells and genetically engineered mouse models have served as 
       excellent platforms for drug discovery and preclinical testing, they have 
       limitations with respect to accurately recapitulating important aspects of the 
       pathobiology of spontaneously arising human tumors. For this reason, attention 
       has turned to the deployment of human stem cell engineering involving human 
       embryonic or induced pluripotent stem cells, in which genetic alterations 
       associated with nervous system cancers can be introduced. These stem cells can be 
       used to create self-assembling three-dimensional cerebral organoids that preserve 
       key features of the developing human brain. Moreover, stem cell-engineered lines 
       are amenable to xenotransplantation into mice as a platform to investigate the 
       tumor cell of origin, discover cancer evolutionary trajectories and identify 
       therapeutic vulnerabilities. In this article, we review the current state of 
       human stem cell models of nervous system tumors, discuss their advantages and 
       disadvantages, and provide consensus recommendations for future research.",PMC10886724,Disease models & mechanisms,101483332
38321118,Gliomas: a reflection of temporal gliogenic principles.,10.1038/s42003-024-05833-2,"The hijacking of early developmental programs is a canonical feature of gliomas 
       where neoplastic cells resemble neurodevelopmental lineages and possess 
       mechanisms of stem cell resilience. Given these parallels, uncovering how and 
