arxivId,Title,Year,Semantic Scholar ID,URL
,Microglial regional heterogeneity and its role in the brain,2019,f588874a164580fe433358af13bc9a252ba74696,https://www.semanticscholar.org/paper/f588874a164580fe433358af13bc9a252ba74696
,Minocycline at 2 Different Dosages vs Placebo for Patients With Mild Alzheimer Disease,2019,99eed22beb3f460864ffb76e235e2aa490d3c2e3,https://www.semanticscholar.org/paper/99eed22beb3f460864ffb76e235e2aa490d3c2e3
,NLRP3 inflammasome activation drives tau pathology,2019,6a9d745a33a2d013c621f57586d9d719671530a7,https://www.semanticscholar.org/paper/6a9d745a33a2d013c621f57586d9d719671530a7
,"Multidomain Interventions to Prevent Cognitive Impairment, Alzheimer’s Disease, and Dementia: From FINGER to World-Wide FINGERS",2019,b6fbfcb507d5a5002b7660ea787e0d5ef696abee,https://www.semanticscholar.org/paper/b6fbfcb507d5a5002b7660ea787e0d5ef696abee
,Impact of TREM2 risk variants on brain region-specific immune activation and plaque microenvironment in Alzheimer’s disease patient brain samples,2019,b0a46c81a79162d52f27df2909ff47c37d51e753,https://www.semanticscholar.org/paper/b0a46c81a79162d52f27df2909ff47c37d51e753
,Tau Aggregation Correlates with Amyloid Deposition in Both Mild Cognitive Impairment and Alzheimer's Disease Subjects.,2019,adee630aac01acef3a7d51215196794191295b37,https://www.semanticscholar.org/paper/adee630aac01acef3a7d51215196794191295b37
,INGE GRUNDKE-IQBAL AWARD FOR ALZHEIMER’S RESEARCH: NEUROTOXIC REACTIVE ASTROCYTES ARE INDUCED BY ACTIVATED MICROGLIA,2019,41bcb83753553e3205a844a07e18954ea6b7cecc,https://www.semanticscholar.org/paper/41bcb83753553e3205a844a07e18954ea6b7cecc
,TRPM2 Channel in Microglia as a New Player in Neuroinflammation Associated With a Spectrum of Central Nervous System Pathologies,2019,a2b7056f14097f8665eeee81331c560db9812d06,https://www.semanticscholar.org/paper/a2b7056f14097f8665eeee81331c560db9812d06
,Microglial activation in early Alzheimer trajectory is associated with higher gray matter volume,2019,ae91eed33a369ff23979c845af466b25ec3bf6c6,https://www.semanticscholar.org/paper/ae91eed33a369ff23979c845af466b25ec3bf6c6
,Neuroinflammation and Functional Connectivity in Alzheimer's Disease: Interactive Influences on Cognitive Performance,2019,00ae02db1583fb542ba3808e6a64cca11347e69f,https://www.semanticscholar.org/paper/00ae02db1583fb542ba3808e6a64cca11347e69f
,Inhibitors of NF-κB and P2X7/NLRP3/Caspase 1 pathway in microglia: Novel therapeutic opportunities in neuroinflammation induced early-stage Alzheimer’s disease,2019,909054d8bd45a8d298afe9caf6b1d2aace4d0bd0,https://www.semanticscholar.org/paper/909054d8bd45a8d298afe9caf6b1d2aace4d0bd0
,Neuroinflammation in mild cognitive impairment and Alzheimer’s disease: A meta-analysis,2019,e578c3f401a7b498e1e6d902d183bb3422096b33,https://www.semanticscholar.org/paper/e578c3f401a7b498e1e6d902d183bb3422096b33
,Microglial activation occurs late during preclinical Alzheimer's disease,2018,9ffc7253a9154be4bcacd251a40828eef203ad9d,https://www.semanticscholar.org/paper/9ffc7253a9154be4bcacd251a40828eef203ad9d
,"Involvement of the Precuneus/Posterior Cingulate Cortex Is Significant for the Development of Alzheimer’s Disease: A PET (THK5351, PiB) and Resting fMRI Study",2018,01c9426c68068670c43669e01c21491759933f99,https://www.semanticscholar.org/paper/01c9426c68068670c43669e01c21491759933f99
,Caspase-1 inhibition alleviates cognitive impairment and neuropathology in an Alzheimer’s disease mouse model,2018,596aa6f69626bfb67de7a999fb391f291af64f68,https://www.semanticscholar.org/paper/596aa6f69626bfb67de7a999fb391f291af64f68
,Emerging PET Radiotracers and Targets for Imaging of Neuroinflammation in Neurodegenerative Diseases: Outlook Beyond TSPO,2018,f05d59efde96db3fe36331c08822de2b7c7e5906,https://www.semanticscholar.org/paper/f05d59efde96db3fe36331c08822de2b7c7e5906
,Does inflammation precede tau aggregation in early Alzheimer's disease? A PET study,2018,1fd90cb6c2e7f5f3cf25ff3ff061fc3a88d9afa9,https://www.semanticscholar.org/paper/1fd90cb6c2e7f5f3cf25ff3ff061fc3a88d9afa9
,Microglial activation correlates in vivo with both tau and amyloid in Alzheimer’s disease,2018,df6a17e5af1ff7adc6bb3a7bac23ad640e18039e,https://www.semanticscholar.org/paper/df6a17e5af1ff7adc6bb3a7bac23ad640e18039e
,Plaque‐dependent morphological and electrophysiological heterogeneity of microglia in an Alzheimer's disease mouse model,2018,c76ca0337b84d78912adf968d6282287e03b3adf,https://www.semanticscholar.org/paper/c76ca0337b84d78912adf968d6282287e03b3adf
,Neuropathological correlates and genetic architecture of microglial activation in elderly human brain,2018,148389e2441b567595778619f1f2be78e1d32d31,https://www.semanticscholar.org/paper/148389e2441b567595778619f1f2be78e1d32d31
,Role of Neuroinflammation in the Trajectory of Alzheimer's Disease and in vivo Quantification Using PET.,2018,2cd96f4d673ee7552d6fe6f27a424cfea3243323,https://www.semanticscholar.org/paper/2cd96f4d673ee7552d6fe6f27a424cfea3243323
,Distinct dynamic profiles of microglial activation are associated with progression of Alzheimer's disease,2018,b083d7cda76e60ebfd53afa785b1253109641260,https://www.semanticscholar.org/paper/b083d7cda76e60ebfd53afa785b1253109641260
,"Microglia in Alzheimer’s Disease: Activated, Dysfunctional or Degenerative",2018,96b338ea42ec0d27a263e2849ec297a35e43fd15,https://www.semanticscholar.org/paper/96b338ea42ec0d27a263e2849ec297a35e43fd15
,"Integrated biology approach reveals molecular and pathological interactions among Alzheimer’s Aβ42, Tau, TREM2, and TYROBP in Drosophila models",2018,055df3c88e6c8ff2773004d4c86c2f7415d9e864,https://www.semanticscholar.org/paper/055df3c88e6c8ff2773004d4c86c2f7415d9e864
,Elevated TREM2 Gene Dosage Reprograms Microglia Responsivity and Ameliorates Pathological Phenotypes in Alzheimer’s Disease Models,2018,135ec8e189d7f1134b9a8bec1f17f6b670958472,https://www.semanticscholar.org/paper/135ec8e189d7f1134b9a8bec1f17f6b670958472
,Protocol for a pragmatic randomised controlled trial of Body Brain Life—General Practice and a Lifestyle Modification Programme to decrease dementia risk exposure in a primary care setting,2018,f10296abab1aa5ccd40770007fea16359f06b0c2,https://www.semanticscholar.org/paper/f10296abab1aa5ccd40770007fea16359f06b0c2
,A critical role of TRPM2 channel in Aβ42‐induced microglial activation and generation of tumor necrosis factor‐α,2018,06411cd49ecb4ef7e849ca969851b9baace7eb81,https://www.semanticscholar.org/paper/06411cd49ecb4ef7e849ca969851b9baace7eb81
