PMID,Title,DOI,Abstract,PMCID,Journal_title,Journal_id
28334640,miRNAs in synapse development and synaptic plasticity.,10.1016/j.conb.2017.02.014,"Synapses are functional units of the nervous system, through which information is 
       transferred between neurons. The development and activity-dependent modification 
       of synapses require temporally and spatially controlled modulation of gene 
       expression. microRNAs (miRNAs) have emerged as essential regulators of gene 
       expression. They are small non-coding RNAs that regulate mRNA stability and 
       translation by interacting with the 3' untranslated region (3' UTR) of mRNAs. 
       miRNAs are located to neuronal processes to regulate protein synthesis locally 
       and their expression is regulated by synaptic activity. This article reviews 
       recent findings on the role of miRNAs in synapse development and synaptic 
       plasticity.",PMC5554733,Current opinion in neurobiology,9111376
38558361,"A Comprehensive Review of Membrane Transporters and MicroRNA Regulation in 
       Alzheimer's Disease.",10.1007/s12035-024-04135-2,"Alzheimer's disease (AD) is a distressing neurodegenerative condition 
       characterized by the accumulation of amyloid-beta (Aβ) plaques and tau tangles 
       within the brain. The interconnectedness between membrane transporters (SLCs) and 
       microRNAs (miRNAs) in AD pathogenesis has gained increasing attention. This 
       review explores the localization, substrates, and functions of SLC transporters 
       in the brain, emphasizing the roles of transporters for glutamate, glucose, 
       nucleosides, and other essential compounds. The examination delves into the 
       significance of SLCs in AD, their potential for drug development, and the 
       intricate realm of miRNAs, encompassing their transcription, processing, 
       functions, and regulation. MiRNAs have emerged as significant players in AD, 
       including those associated with mitochondria and synapses. Furthermore, this 
       review discusses the intriguing nexus of miRNAs targeting SLC transporters and 
       their potential as therapeutic targets in AD. Finally, the review underscores the 
       interaction between SLC transporters and miRNA regulation within the context of 
       Alzheimer's disease, underscoring the need for further research in this area. 
       This comprehensive review aims to shed light on the complex mechanisms underlying 
       the causation of AD and provides insights into potential therapeutic approaches.",,Molecular neurobiology,8900963
38493494,"AFM Imaging Reveals MicroRNA-132 to be a Positive Regulator of Synaptic 
       Functions.",10.1002/advs.202306630,"The modification of synaptic and neural connections in adults, including the 
       formation and removal of synapses, depends on activity-dependent synaptic and 
       structural plasticity. MicroRNAs (miRNAs) play crucial roles in regulating these 
       changes by targeting specific genes and regulating their expression. The fact 
       that somatic and dendritic activity in neurons often occurs asynchronously 
       highlights the need for spatial and dynamic regulation of protein synthesis in 
       specific milieu and cellular loci. MicroRNAs, which can show distinct patterns of 
       enrichment, help to establish the localized distribution of plasticity-related 
       proteins. The recent study using atomic force microscopy (AFM)-based nanoscale 
       imaging reveals that the abundance of miRNA(miR)-134 is inversely correlated with 
       the functional activity of dendritic spine structures. However, the miRNAs that 
       are selectively upregulated in potentiated synapses, and which can thereby 
       support prospective changes in synaptic efficacy, remain largely unknown. Using 
       AFM force imaging, significant increases in miR-132 in the dendritic regions 
       abutting functionally-active spines is discovered. This study provides evidence 
       for miR-132 as a novel positive miRNA regulator residing in dendritic shafts, and 
       also suggests that activity-dependent miRNAs localized in distinct 
       sub-compartments of neurons play bi-directional roles in controlling synaptic 
       transmission and synaptic plasticity.",PMC11077659,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",101664569
38474112,"Clinical Insights into MicroRNAs in Depression: Bridging Molecular Discoveries 
       and Therapeutic Potential.",10.3390/ijms25052866,"Depression is a major contributor to the overall global burden of disease. The 
       discovery of biomarkers for diagnosis or prediction of treatment responses and as 
       therapeutic agents is a current priority. Previous studies have demonstrated the 
       importance of short RNA molecules in the etiology of depression. The most 
       extensively researched of these are microRNAs, a major component of cellular gene 
       regulation and function. MicroRNAs function in a temporal and tissue-specific 
       manner to regulate and modify the post-transcriptional expression of target 
       mRNAs. They can also be shuttled as cargo of extracellular vesicles between the 
       brain and the blood, thus informing about relevant mechanisms in the CNS through 
       the periphery. In fact, studies have already shown that microRNAs identified 
       peripherally are dysregulated in the pathological phenotypes seen in depression. 
       Our article aims to review the existing evidence on microRNA dysregulation in 
       depression and to summarize and evaluate the growing body of evidence for the use 
       of microRNAs as a target for diagnostics and RNA-based therapies.",PMC10931847,International journal of molecular sciences,101092791
38321143,"An essential role for the RNA helicase DDX6 in NMDA receptor-dependent gene 
